ID,CarbonEmission
1,2238
2,1892
3,2595
4,1074
5,4743
6,1647
7,1832
8,2322
9,2494
10,1178
11,1427
12,3226
13,1593
14,1732
15,1743
16,2101
17,2609
18,1565
19,5272
20,1220
21,1300
22,1024
23,706
24,2582
25,4284
26,807
27,1991
28,1817
29,1490
30,1561
31,2202
32,2024
33,1659
34,3911
35,1204
36,2431
37,1640
38,1648
39,1002
40,1771
41,2028
42,2540
43,1386
44,1679
45,3141
46,2627
47,1188
48,3174
49,2327
50,1822
51,2665
52,2129
53,1425
54,1690
55,1717
56,4060
57,3262
58,1674
59,3135
60,4465
61,1984
62,3246
63,1351
64,1929
65,2719
66,2336
67,1270
68,1803
69,1816
70,4638
71,1909
72,2021
73,1896
74,1770
75,1323
76,2269
77,1918
78,2477
79,1444
80,1254
81,1411
82,1605
83,3054
84,2902
85,4301
86,2308
87,4132
88,2993
89,3098
90,1364
91,2941
92,1349
93,1038
94,1815
95,2566
96,2439
97,2056
98,2299
99,1492
100,1692
101,2581
102,950
103,1923
104,1751
105,2562
106,2456
107,657
108,1758
109,2184
110,3009
111,2238
112,1892
113,2595
114,1074
115,4743
116,1647
117,1832
118,2322
119,2494
120,1178
121,1427
122,3226
123,1593
124,1732
125,1743
126,2101
127,2609
128,1565
129,5272
130,1220
131,1300
132,1024
133,706
134,2582
135,4284
136,807
137,1991
138,1817
139,1490
140,1561
141,2202
142,2024
143,1659
144,3911
145,1204
146,2431
147,1640
148,1648
149,1002
150,1771
151,2028
152,2540
153,1386
154,1679
155,3141
156,2627
157,1188
158,3174
159,2327
160,1822
161,2665
162,2129
163,1425
164,1690
165,1717
166,4060
167,3262
168,1674
169,3135
170,4465
171,1984
172,3246
173,1351
174,1929
175,2719
176,2336
177,1270
178,1803
179,1816
180,4638
181,1909
182,2021
183,1896
184,1770
185,1323
186,2269
187,1918
188,2477
189,1444
190,1254
191,1411
192,1605
193,3054
194,2902
195,4301
196,2308
197,4132
198,2993
199,3098
200,1364
201,2941
202,1349
203,1038
204,1815
205,2566
206,2439
207,2056
208,2299
209,1492
210,1692
211,2581
212,950
