ID,Body Type,Sex
1,overweight,female
2,obese,female
3,overweight,male
4,overweight,male
5,obese,female
6,overweight,male
7,underweight,female
8,underweight,female
9,overweight,male
10,underweight,female
11,normal,female
12,obese,male
13,underweight,female
14,underweight,female
15,obese,male
16,overweight,female
17,normal,male
18,overweight,female
19,underweight,male
20,normal,female
21,normal,male
22,obese,female
23,overweight,male
24,obese,male
25,overweight,male
26,obese,female
27,underweight,female
28,obese,male
29,obese,male
30,underweight,female
31,obese,female
32,underweight,female
33,normal,female
34,normal,female
35,normal,male
36,underweight,female
37,obese,male
38,underweight,male
39,underweight,male
40,underweight,female
41,overweight,female
42,normal,female
43,underweight,female
44,normal,female
45,overweight,male
46,normal,male
47,underweight,male
48,underweight,male
49,overweight,female
50,overweight,female
51,obese,female
52,underweight,male
53,normal,male
54,overweight,male
55,obese,female
56,normal,male
57,obese,female
58,overweight,female
59,obese,male
60,underweight,male
61,overweight,male
62,overweight,female
63,obese,female
64,obese,male
65,obese,male
66,obese,female
67,normal,female
68,obese,female
69,normal,female
70,normal,male
71,underweight,female
72,normal,male
73,normal,male
74,obese,male
75,normal,female
76,normal,female
77,obese,male
78,overweight,female
79,normal,female
80,obese,female
81,overweight,male
82,underweight,male
83,obese,male
84,overweight,female
85,overweight,male
86,normal,female
87,normal,female
88,overweight,male
89,overweight,female
90,overweight,female
91,normal,female
92,overweight,female
93,overweight,female
94,obese,male
95,overweight,female
96,overweight,female
97,obese,female
98,overweight,female
99,overweight,male
100,underweight,female
101,obese,male
102,overweight,male
103,normal,male
104,overweight,female
105,underweight,female
106,overweight,male
107,overweight,female
108,normal,female
109,obese,female
110,obese,female
111,,f
112,,f
113,,m
114,,m
115,,f
116,,m
117,,f
118,,f
119,,m
120,,f
121,,f
122,,m
123,,female
124,,female
125,,male
126,,female
127,,male
128,,female
129,,male
130,,female
131,,male
132,,female
133,,male
134,,male
135,,male
136,,female
137,,female
138,,male
139,,male
140,,female
141,,female
142,,female
143,,female
144,,female
145,,male
146,,female
147,,male
148,,male
149,,male
150,,female
151,,female
152,,female
153,,female
154,,female
155,,male
156,,male
157,,male
158,,male
159,,female
160,,female
161,,female
162,,male
163,,male
164,,male
165,,female
166,,male
167,,female
168,,female
169,,male
170,,male
171,,male
172,,female
173,,female
174,,male
175,,male
176,,female
177,,female
178,,female
179,,female
180,,male
181,,female
182,,male
183,,male
184,,male
185,,female
186,,female
187,,male
188,,female
189,,female
190,,female
191,,male
192,,male
193,,male
194,,female
195,,male
196,,female
197,,female
198,,male
199,,female
200,,female
201,,female
202,,female
203,,female
204,,male
205,,female
206,,female
207,,female
208,,female
209,,male
210,,female
211,fat,m
212,overweight,m
213,normal,m
214,overweight,f
215,underweight,f
216,overweight,m
217,overweight,f
218,normal,f
219,obese,f
220,obese,f
221,underweight,m
222,normal,f
223,obese,m
224,overweight,female
225,underweight,female
226,underweight,female
227,normal,female
228,underweight,female
229,underweight,female
230,obese,female
231,obese,female
232,normal,female
233,obese,male
234,underweight,male
235,normal,female
236,obese,male
237,obese,male
238,obese,female
239,underweight,male
240,underweight,female
241,underweight,male
242,obese,male
