ID,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With
1,pescatarian,daily,coal,often,230,7,26,1,No,['Metal'],"['Stove', 'Oven']"
2,vegetarian,less frequently,natural gas,often,114,9,38,5,No,['Metal'],"['Stove', 'Microwave']"
3,omnivore,more frequently,wood,never,138,14,47,6,Sometimes,['Metal'],"['Oven', 'Microwave']"
4,omnivore,twice a day,wood,sometimes,157,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
5,vegetarian,daily,coal,often,266,3,5,6,Yes,['Paper'],['Oven']
6,vegetarian,less frequently,wood,sometimes,144,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
7,vegan,less frequently,wood,never,56,9,11,19,Sometimes,[],"['Grill', 'Airfryer']"
8,vegan,more frequently,coal,sometimes,59,5,39,15,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
9,omnivore,daily,wood,never,200,3,31,15,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
10,pescatarian,daily,wood,often,135,8,23,18,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
11,vegetarian,more frequently,wood,never,146,12,27,21,No,"['Paper', 'Plastic']","['Stove', 'Microwave']"
12,vegetarian,more frequently,coal,never,111,9,4,4,Sometimes,[],"['Stove', 'Oven', 'Microwave']"
13,omnivore,twice a day,coal,often,114,18,27,4,Yes,['Plastic'],['Stove']
14,vegan,less frequently,electricity,sometimes,111,13,16,10,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
15,pescatarian,less frequently,natural gas,often,123,13,23,8,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
16,vegetarian,less frequently,electricity,never,225,9,24,15,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
17,pescatarian,more frequently,electricity,often,219,23,42,14,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
18,pescatarian,daily,wood,often,104,1,6,22,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']"
19,vegan,more frequently,electricity,often,126,6,37,9,Sometimes,[],['Stove']
20,omnivore,more frequently,wood,often,288,15,22,6,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']"
21,vegan,twice a day,electricity,often,282,0,8,5,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
22,pescatarian,less frequently,wood,never,69,6,3,7,No,['Metal'],"['Stove', 'Oven', 'Microwave']"
23,omnivore,twice a day,wood,sometimes,110,14,4,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
24,vegetarian,daily,coal,often,165,17,24,20,Yes,"['Paper', 'Glass']",['Microwave']
25,vegan,daily,coal,sometimes,62,5,20,20,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']"
26,pescatarian,less frequently,electricity,sometimes,94,17,0,3,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
27,vegan,daily,electricity,often,259,4,50,23,Sometimes,['Metal'],"['Oven', 'Grill', 'Airfryer']"
28,vegetarian,less frequently,electricity,sometimes,67,14,37,14,Sometimes,['Plastic'],['Stove']
29,pescatarian,daily,wood,never,130,10,15,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']"
30,omnivore,less frequently,electricity,never,258,13,44,4,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
31,vegan,more frequently,wood,sometimes,189,23,34,10,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
32,vegetarian,daily,coal,sometimes,262,24,8,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']"
33,pescatarian,daily,natural gas,never,157,1,42,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
34,pescatarian,daily,wood,often,280,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
35,vegetarian,twice a day,coal,sometimes,121,11,4,10,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
36,vegan,less frequently,coal,often,174,1,40,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
37,vegetarian,daily,electricity,sometimes,173,16,14,20,Sometimes,"['Plastic', 'Glass']",[]
38,vegan,twice a day,natural gas,sometimes,199,17,6,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
39,omnivore,less frequently,wood,never,94,15,5,17,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
40,pescatarian,less frequently,coal,never,64,19,47,16,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
41,omnivore,twice a day,electricity,never,100,20,24,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
42,vegetarian,more frequently,coal,often,240,15,19,5,No,"['Glass', 'Metal']","['Stove', 'Oven']"
43,omnivore,daily,electricity,sometimes,245,14,48,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
44,pescatarian,daily,coal,sometimes,270,22,21,11,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
45,omnivore,daily,wood,often,294,16,20,18,Yes,['Glass'],[]
46,vegetarian,more frequently,wood,never,87,0,11,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
47,pescatarian,less frequently,wood,never,209,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
