ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
1,public,,frequently,210
2,walk/bicycle,,rarely,9
3,private,petrol,never,2472
4,walk/bicycle,,rarely,74
5,private,diesel,very frequently,8457
6,public,,frequently,658
7,private,hybrid,rarely,5363
8,walk/bicycle,,very frequently,54
9,public,,frequently,1376
10,public,,rarely,440
11,public,,never,1561
12,walk/bicycle,,very frequently,69
13,walk/bicycle,,rarely,92
14,private,lpg,rarely,2893
15,public,,rarely,1989
16,public,,very frequently,692
17,walk/bicycle,,frequently,7
18,public,,rarely,948
19,private,petrol,very frequently,7622
20,walk/bicycle,,never,51
21,private,electric,rarely,2237
22,public,,rarely,1804
23,walk/bicycle,,never,85
24,private,diesel,frequently,472
25,private,diesel,very frequently,5737
26,walk/bicycle,,rarely,88
27,public,,frequently,558
28,public,,rarely,752
29,walk/bicycle,,rarely,71
30,public,,frequently,1028
31,public,,frequently,1527
32,walk/bicycle,,frequently,88
33,walk/bicycle,,frequently,73
34,private,lpg,very frequently,8320
35,walk/bicycle,,never,72
36,walk/bicycle,,very frequently,9
37,walk/bicycle,,frequently,60
38,walk/bicycle,,frequently,13
39,walk/bicycle,,rarely,32
40,walk/bicycle,,frequently,49
41,public,,very frequently,1351
42,public,,very frequently,1726
43,public,,never,1021
44,walk/bicycle,,rarely,62
45,private,electric,very frequently,9488
46,public,,very frequently,1037
47,private,electric,never,9555
48,private,diesel,never,9031
49,public,,frequently,1461
50,walk/bicycle,,very frequently,39
51,private,diesel,never,5033
52,public,,frequently,1065
53,public,,rarely,927
54,private,hybrid,frequently,2277
55,walk/bicycle,,rarely,97
56,private,lpg,frequently,7272
57,private,petrol,rarely,5260
58,public,,rarely,1750
59,private,hybrid,frequently,2998
60,private,lpg,rarely,9147
61,public,,rarely,1947
62,private,lpg,very frequently,4885
63,walk/bicycle,,frequently,20
64,walk/bicycle,,never,23
65,walk/bicycle,,frequently,34
66,walk/bicycle,,frequently,59
67,public,,never,682
68,walk/bicycle,,never,10
69,walk/bicycle,,very frequently,10
70,private,petrol,never,7964
71,private,hybrid,rarely,3606
72,public,,frequently,536
73,public,,rarely,1564
74,walk/bicycle,,frequently,78
75,walk/bicycle,,never,98
76,public,,very frequently,1820
77,public,,never,243
78,public,,very frequently,1586
79,walk/bicycle,,frequently,11
80,walk/bicycle,,never,72
81,public,,never,1157
82,public,,never,1380
83,private,lpg,never,5765
84,walk/bicycle,,very frequently,92
85,private,lpg,frequently,7797
86,walk/bicycle,,very frequently,50
87,private,petrol,frequently,7629
88,private,petrol,frequently,2367
89,private,petrol,frequently,3960
90,walk/bicycle,,rarely,42
91,private,lpg,rarely,6455
92,walk/bicycle,,frequently,41
93,walk/bicycle,,never,71
94,walk/bicycle,,never,39
95,walk/bicycle,,very frequently,50
96,private,electric,very frequently,8707
97,private,lpg,very frequently,167
98,public,,very frequently,631
99,public,,rarely,194
100,walk/bicycle,,rarely,46
101,walk/bicycle,,frequently,37
102,walk/bicycle,,rarely,31
103,private,lpg,never,2880
104,walk/bicycle,,never,6
105,walk/bicycle,,very frequently,40
106,walk/bicycle,,frequently,1
107,public,,never,1341
108,public,,very frequently,393
109,public,,frequently,191
110,public,,very frequently,131
111,public,,frequently,210
112,walk/bicycle,,rarely,9
113,private,petrol,never,2472
114,walk/bicycle,,rarely,74
115,private,diesel,very frequently,8457
116,public,,frequently,658
117,private,hybrid,rarely,5363
118,walk/bicycle,,very frequently,54
119,public,,frequently,1376
120,public,,rarely,440
121,public,,never,1561
122,walk/bicycle,,very frequently,69
123,walk/bicycle,,rarely,92
124,private,lpg,rarely,2893
125,public,,rarely,1989
126,public,,very frequently,692
127,walk/bicycle,,frequently,7
128,public,,rarely,948
129,private,petrol,very frequently,7622
130,walk/bicycle,,never,51
131,private,electric,rarely,2237
132,public,,rarely,1804
133,walk/bicycle,,never,85
134,private,diesel,frequently,472
135,private,diesel,very frequently,5737
136,walk/bicycle,,rarely,88
137,public,,frequently,558
138,public,,rarely,752
139,walk/bicycle,,rarely,71
140,public,,frequently,1028
