ID,Waste Bag Size,Waste Bag Weekly Count
1,large,4
2,extra large,3
3,small,1
4,medium,3
5,large,1
6,large,1
7,medium,4
8,extra large,3
9,medium,3
10,extra large,1
11,extra large,4
12,medium,5
13,large,3
14,large,6
15,small,6
16,small,6
17,extra large,4
18,large,6
19,medium,2
20,small,4
21,large,6
22,large,1
23,small,3
24,small,4
25,medium,1
26,medium,6
27,large,4
28,large,3
29,small,2
30,small,2
31,medium,4
32,large,5
33,medium,4
34,small,5
35,medium,6
36,large,2
37,medium,2
38,medium,5
39,small,6
40,small,1
41,extra large,1
42,medium,2
43,medium,7
44,small,5
45,small,5
46,large,4
47,large,2
48,extra large,5
49,large,7
50,medium,3
51,medium,6
52,extra large,4
53,medium,5
54,large,1
55,medium,7
56,large,2
57,extra large,3
58,extra large,1
59,small,4
60,extra large,5
61,extra large,3
62,large,1
63,large,4
64,extra large,1
65,large,5
66,large,1
67,small,6
68,large,6
69,medium,1
70,small,1
71,small,3
72,large,2
73,large,5
74,small,4
75,small,1
76,small,1
77,extra large,4
78,small,7
79,large,3
80,small,5
81,small,5
82,extra large,4
83,medium,5
84,extra large,6
85,large,7
86,small,3
87,medium,1
88,medium,3
89,medium,1
90,extra large,2
91,large,1
92,large,4
93,medium,1
94,medium,7
95,extra large,1
96,medium,3
97,small,2
98,medium,7
99,large,6
100,medium,1
101,extra large,3
102,large,2
103,small,5
104,extra large,2
105,small,6
106,large,6
107,extra large,1
108,small,3
109,medium,4
110,extra large,1
111,large,4
112,extra large,3
113,small,1
114,medium,3
115,large,1
116,large,1
117,medium,4
118,extra large,3
119,medium,3
120,extra large,1
121,extra large,4
122,medium,5
123,large,3
124,large,6
125,small,6
126,small,6
127,extra large,4
128,large,6
129,medium,2
130,small,4
131,large,6
132,large,1
133,small,3
134,small,4
135,medium,20
136,medium,20
137,large,21
138,large,45
139,small,2
140,small,2
141,medium,4
142,large,5
143,medium,4
144,small,5
145,medium,6
146,large,2
147,,2
148,,5
149,,6
150,small,1
151,extra large,1
152,medium,2
153,medium,7
154,small,5
155,small,5
156,large,4
157,large,2
158,extra large,5
159,large,7
160,medium,3
161,medium,6
162,extra large,4
163,medium,5
164,large,14
165,medium,7
166,large,2
167,extra large,3
168,extra large,1
169,small,4
170,extra large,5
171,extra large,3
172,large,1
173,large,4
174,extra large,1
175,large,5
176,large,1
177,small,6
178,large,6
179,medium,1
180,small,1
181,small,3
182,large,51
183,large,5
184,small,4
185,small,1
186,small,1
187,extra large,16
188,small,7
189,large,3
190,small,5
191,small,5
192,extra large,4
193,medium,5
194,extra large,6
195,large,32
196,small,3
197,medium,1
198,medium,3
199,medium,1
200,extra large,2
201,large,1
202,large,4
203,medium,62
204,medium,7
205,extra large,1
206,medium,3
207,small,2
208,medium,7
209,large,6
210,medium,1
211,extra large,3
212,large,2
213,small,5
214,extra large,75
215,small,6
216,large,6
217,extra large,1
218,small,3
219,medium,4
220,extra large,1
221,,5
222,,7
223,,21
224,medium,3
225,small,5
226,extra large,1
227,large,3
228,extra large,3
229,large,7
230,large,4
231,small,6
232,medium,7
233,large,233
234,small,2
235,extra large,1
236,medium,5
237,medium,2
238,large,1
239,small,3
240,medium,1
241,small,2
242,large,6
243,large,6
244,medium,3
245,extra large,2
246,large,1
247,large,7
248,extra large,3
249,extra large,5
250,extra large,4
251,medium,1
252,small,6
253,small,1
254,extra large,2
255,large,5
256,extra large,2
257,small,6
258,extra large,6
259,medium,1
260,small,3
261,small,3
262,extra large,3
263,large,64
264,extra large,2
265,extra large,6
266,extra large,1
267,medium,6
268,large,7
269,small,7
270,small,4
271,large,7
272,extra large,3
273,medium,4
274,medium,2
275,extra large,4
276,small,4
277,small,2
278,extra large,1
279,extra large,7
280,medium,7
281,large,7
282,small,4
283,extra large,4
284,small,1
285,extra large,5
286,small,3
287,small,1
288,large,3
289,medium,87
290,extra large,2
291,small,7
292,extra large,4
293,large,4
294,small,6
295,small,3
296,medium,1
297,large,2
298,large,1
299,small,1
300,small,4
301,medium,3
302,extra large,4
303,small,2
304,large,2
305,medium,4
306,large,6
307,extra large,23
308,medium,4
309,medium,3
310,large,5
311,small,7
312,small,3
313,medium,3
314,small,5
315,extra large,1
316,large,3
317,extra large,3
318,large,7
319,large,4
320,small,6
321,medium,7
322,large,1
323,small,2
324,extra large,1
325,medium,5
326,medium,2
327,large,1
328,small,3
329,medium,1
330,small,2
331,large,6
332,large,6
333,medium,3
334,extra large,2
335,large,1
336,large,7
337,extra large,3
338,extra large,5
339,extra large,4
340,medium,1
341,small,6
342,small,1
343,extra large,2
344,large,5
345,extra large,2
346,small,6
347,extra large,6
348,medium,1
349,small,3
350,small,3
351,extra large,3
352,large,3
353,extra large,2
354,extra large,6
355,extra large,1
356,medium,6
357,large,7
358,small,7
359,small,4
360,large,7
361,extra large,3
362,medium,4
363,medium,2
364,extra large,4
365,small,4
366,small,2
367,extra large,1
368,extra large,7
369,medium,7
370,large,7
371,small,4
372,extra large,4
373,small,1
374,extra large,5
375,small,3
376,small,1
377,large,3
378,medium,7
379,extra large,2
380,small,7
381,extra large,4
382,large,4
383,small,6
384,small,3
385,medium,1
386,large,2
387,large,1
388,small,1
389,small,4
390,medium,3
391,extra large,4
392,small,2
393,large,2
394,medium,4
395,large,6
396,extra large,3
397,medium,4
398,medium,3
399,small,3
400,medium,1
401,medium,2
402,extra large,3
403,small,3
404,small,6
405,medium,6
406,large,4
407,small,7
408,extra large,7
409,extra large,1
410,small,1
411,extra large,4
412,small,7
413,medium,5
414,small,2
415,extra large,7
416,small,6
417,medium,3
418,small,3
419,extra large,7
420,large,7
421,medium,5
422,large,1
423,small,5
424,medium,6
425,small,6
426,medium,3
427,large,1
428,extra large,7
429,small,3
430,medium,1
431,small,3
432,large,6
433,medium,5
434,large,3
435,small,7
436,large,1
437,small,1
438,extra large,6
439,small,6
440,extra large,1
441,small,2
442,large,2
443,small,7
444,extra large,4
445,small,1
446,medium,6
447,extra large,7
448,medium,5
449,large,7
450,small,2
451,medium,1
452,medium,1
453,medium,7
454,medium,4
455,small,5
456,large,1
457,extra large,1
458,medium,1
459,extra large,2
460,medium,4
461,medium,4
462,medium,4
463,medium,6
464,large,4
465,extra large,4
466,small,5
467,large,4
468,medium,1
469,small,6
470,large,2
471,extra large,1
472,large,3
473,medium,3
474,small,1
475,medium,7
476,small,2
477,small,2
478,small,1
479,extra large,7
480,extra large,5
481,small,7
482,medium,6
483,small,2
484,medium,4
485,small,4
486,large,2
487,extra large,5
488,large,4
489,medium,3
490,extra large,6
491,large,7
492,medium,2
493,extra large,5
494,medium,7
495,small,2
496,medium,2
497,large,6
498,medium,6
499,large,1
500,extra large,5
501,small,3
502,extra large,5
503,small,1
504,small,2
505,small,4
506,large,6
507,small,6
508,small,4
509,medium,6
510,large,7
511,large,3
512,large,6
513,extra large,4
514,large,2
515,small,6
516,medium,6
517,extra large,2
518,large,2
519,small,1
520,medium,3
521,large,6
522,large,3
523,small,5
524,small,6
525,extra large,2
526,small,7
527,large,6
528,large,2
529,large,3
530,medium,4
531,large,7
532,extra large,7
533,extra large,2
534,large,2
535,medium,2
536,small,4
537,extra large,2
538,extra large,5
539,large,2
540,extra large,3
541,small,4
542,medium,5
543,large,5
544,large,2
545,large,4
546,medium,3
547,large,3
548,medium,3
549,small,2
550,medium,1
551,large,5
552,small,3
553,large,2
554,medium,5
555,small,3
556,large,3
557,extra large,6
558,small,2
559,medium,7
560,extra large,4
561,small,4
562,large,1
563,extra large,7
564,medium,7
565,large,5
566,extra large,4
567,extra large,1
568,extra large,5
569,medium,7
570,extra large,4
571,small,6
572,small,4
573,extra large,3
574,medium,5
575,small,2
576,small,1
577,extra large,7
578,extra large,2
579,extra large,7
580,medium,3
581,extra large,7
582,medium,6
583,small,2
584,small,3
585,small,4
586,large,6
587,large,5
588,medium,2
589,small,1
590,large,6
591,extra large,4
592,extra large,7
593,extra large,4
594,extra large,5
595,small,3
596,extra large,4
597,extra large,4
598,large,1
599,large,7
600,small,3
601,small,7
602,extra large,4
603,extra large,5
604,extra large,6
605,large,7
606,medium,6
607,small,6
608,extra large,5
609,medium,5
610,large,6
611,medium,3
612,extra large,5
613,large,4
614,extra large,7
615,extra large,7
616,large,3
617,large,6
618,large,1
619,medium,3
620,large,5
621,medium,7
622,large,5
623,large,6
624,large,5
625,extra large,2
626,extra large,1
627,small,7
628,large,4
629,small,3
630,small,2
631,large,4
632,extra large,3
633,small,5
634,medium,4
635,small,4
636,small,1
637,extra large,1
638,extra large,6
639,large,5
640,small,6
641,medium,4
642,extra large,6
643,small,1
644,extra large,5
645,medium,5
646,small,4
647,small,4
648,medium,5
649,extra large,1
650,large,6
651,large,7
652,medium,7
653,large,5
654,medium,7
655,extra large,4
656,large,7
657,medium,6
658,large,2
659,large,6
660,small,4
661,extra large,3
662,medium,7
663,extra large,2
664,medium,4
665,extra large,2
666,large,2
667,medium,4
668,small,6
669,large,5
670,extra large,2
671,medium,6
672,small,2
673,medium,6
674,medium,5
675,large,6
676,medium,7
677,small,3
678,large,4
679,medium,5
680,large,7
681,extra large,3
682,medium,6
683,large,6
684,extra large,6
685,extra large,5
686,extra large,4
687,large,5
688,small,7
689,extra large,5
690,extra large,1
691,extra large,7
692,large,2
693,large,4
694,small,5
695,large,2
696,small,6
697,small,3
698,small,5
699,small,7
700,small,4
701,extra large,4
702,large,4
703,large,2
704,large,5
705,large,3
706,extra large,5
707,medium,5
708,extra large,4
709,large,2
710,extra large,3
711,extra large,5
712,extra large,2
713,small,7
714,medium,2
715,large,4
716,large,6
717,medium,3
718,medium,7
719,small,7
720,large,4
721,large,6
722,medium,5
723,large,2
724,extra large,5
725,extra large,1
726,medium,5
727,small,3
728,small,3
729,small,7
730,extra large,2
731,small,1
732,medium,7
733,extra large,2
734,small,5
735,large,2
736,small,1
737,extra large,7
738,medium,7
739,small,4
740,medium,2
741,medium,5
742,extra large,7
743,small,1
744,small,4
745,medium,5
746,medium,5
747,medium,6
748,large,6
749,large,2
750,extra large,6
751,large,2
752,medium,7
753,medium,3
754,extra large,3
755,large,3
756,small,7
757,medium,5
758,large,2
759,large,3
760,small,3
761,medium,3
762,extra large,3
763,small,4
764,small,1
765,extra large,2
766,large,7
767,small,1
768,small,6
769,extra large,4
770,small,6
771,large,3
772,small,5
773,small,7
774,small,4
775,small,3
776,medium,3
777,small,1
778,extra large,4
779,extra large,7
780,medium,3
781,extra large,4
782,large,2
783,large,5
784,medium,5
785,small,3
786,large,4
787,large,4
788,medium,1
789,large,1
790,large,7
791,small,3
792,extra large,5
793,large,4
794,medium,6
795,medium,1
796,medium,5
797,large,7
798,large,6
799,small,7
800,medium,4
801,large,7
802,large,7
803,extra large,7
804,extra large,2
805,extra large,2
806,medium,6
807,large,4
808,small,7
809,large,3
810,extra large,7
811,medium,3
812,extra large,2
813,small,3
814,large,5
815,extra large,7
816,small,4
817,extra large,1
818,large,2
819,extra large,7
820,extra large,7
821,small,1
822,medium,2
823,medium,1
824,medium,1
825,medium,5
826,medium,5
827,large,3
828,extra large,7
829,medium,5
830,small,6
831,extra large,5
832,extra large,1
833,extra large,2
834,small,7
835,extra large,7
836,small,4
837,extra large,7
838,large,3
839,small,2
840,small,6
841,large,1
842,medium,3
843,small,4
844,small,7
845,large,4
846,extra large,2
847,small,3
848,large,3
849,extra large,4
850,large,3
851,large,2
852,large,2
853,medium,1
854,medium,7
855,extra large,2
856,small,6
857,small,3
858,medium,2
859,small,1
860,large,3
861,large,6
862,medium,5
863,medium,5
864,large,1
865,extra large,1
866,extra large,7
867,extra large,1
868,extra large,7
869,large,1
870,large,5
871,large,3
872,large,2
873,medium,7
874,medium,3
875,small,7
876,medium,7
877,extra large,4
878,small,6
879,extra large,7
880,medium,4
881,large,4
882,small,2
883,small,1
884,extra large,4
885,extra large,3
886,large,7
887,small,5
888,large,6
889,small,3
890,medium,2
891,small,6
892,small,7
893,large,3
894,medium,3
895,small,5
896,extra large,4
897,medium,3
898,medium,3
899,extra large,1
900,medium,2
901,large,6
902,small,4
903,extra large,6
904,extra large,3
905,large,2
906,medium,6
907,large,3
908,small,2
909,small,5
910,large,6
911,medium,7
912,medium,3
913,medium,1
914,medium,4
915,large,5
916,extra large,3
917,small,6
918,small,4
919,small,4
920,extra large,3
921,small,3
922,large,6
923,medium,3
924,large,6
925,large,1
926,extra large,2
927,small,6
928,small,6
929,small,5
930,extra large,3
931,small,5
932,medium,4
933,extra large,7
934,extra large,6
935,medium,6
936,medium,5
937,large,6
938,large,1
939,medium,3
940,extra large,7
941,extra large,1
942,extra large,4
943,large,6
944,large,5
945,medium,4
946,medium,4
947,medium,4
948,large,3
949,medium,3
950,medium,1
951,small,5
952,large,7
953,medium,3
954,extra large,1
955,large,3
956,large,2
957,small,6
958,extra large,5
959,small,3
960,medium,7
961,medium,6
962,large,5
963,large,6
964,medium,7
965,large,4
966,extra large,3
967,medium,3
968,medium,5
969,large,7
970,small,4
971,extra large,4
972,extra large,4
973,small,6
974,extra large,2
975,extra large,3
976,medium,4
977,large,4
978,medium,4
979,small,5
980,extra large,4
981,extra large,5
982,medium,6
983,large,7
984,extra large,4
985,small,5
986,small,4
987,extra large,6
988,extra large,6
989,medium,7
990,medium,6
991,medium,5
992,large,1
993,medium,4
994,medium,4
995,extra large,2
996,extra large,6
997,small,7
998,extra large,1
999,extra large,3
1000,small,1
1001,extra large,4
1002,medium,1
1003,large,3
1004,extra large,7
1005,medium,6
1006,medium,2
1007,medium,4
1008,extra large,6
1009,extra large,7
1010,small,6
1011,small,6
1012,small,5
1013,large,1
1014,large,2
1015,large,5
1016,medium,6
1017,small,7
1018,large,3
1019,large,2
1020,small,1
1021,small,2
1022,small,6
1023,small,6
1024,small,1
1025,extra large,6
1026,small,4
1027,large,6
1028,small,5
1029,large,5
1030,extra large,6
1031,medium,3
1032,medium,7
1033,large,2
1034,large,3
1035,extra large,6
1036,large,5
1037,large,7
1038,small,4
1039,small,4
1040,small,2
1041,extra large,7
1042,extra large,3
1043,medium,7
1044,small,7
1045,medium,6
1046,medium,5
1047,extra large,7
1048,medium,4
1049,large,4
1050,large,4
1051,large,2
1052,small,7
1053,medium,7
1054,large,4
1055,medium,1
1056,medium,3
1057,large,5
1058,medium,6
1059,extra large,7
1060,extra large,4
1061,medium,6
1062,small,3
1063,extra large,1
1064,small,2
1065,small,5
1066,small,3
1067,extra large,5
1068,small,2
1069,small,4
1070,large,5
1071,medium,1
1072,medium,5
1073,small,7
1074,small,1
1075,large,7
1076,medium,1
1077,large,4
1078,medium,4
1079,extra large,2
1080,large,2
1081,medium,5
1082,medium,2
1083,medium,1
1084,medium,4
1085,large,6
1086,small,6
1087,extra large,5
1088,large,4
1089,medium,5
1090,small,1
1091,small,6
1092,extra large,4
1093,large,2
1094,medium,1
1095,small,6
1096,small,6
1097,medium,4
1098,extra large,1
1099,large,6
1100,medium,2
1101,small,5
1102,extra large,4
1103,medium,5
1104,medium,3
1105,small,7
1106,small,4
1107,small,5
1108,large,6
1109,medium,7
1110,extra large,1
1111,small,3
1112,small,3
1113,medium,2
1114,extra large,7
1115,extra large,6
1116,medium,4
1117,extra large,2
1118,extra large,7
1119,extra large,1
1120,extra large,4
1121,extra large,4
