Body Type,Diet,How Often Shower,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Recycle Plastic,Recycle Glass,Recycle Metal,Recycle Paper,Recycling Count,Cook With Stove,Cook With Oven,Cook With Microwave,Cook With Grill,Cook With Airfryer,Cooking With Count,Monthly Grocery Bill Tier
overweight,pescatarian,daily,public,often,230,frequently,large,4,7,26,1,No,[Metal],"['Stove', 'Oven']",2238,0,0,1,0,1,1,1,0,0,0,2,High
obese,vegetarian,less frequently,walk/bicycle,often,114,rarely,extra large,3,9,38,5,No,[Metal],"['Stove', 'Microwave']",1892,0,0,1,0,1,1,0,1,0,0,2,Low
overweight,omnivore,more frequently,private,never,138,never,small,1,14,47,6,Sometimes,[Metal],"['Oven', 'Microwave']",2595,0,0,1,0,1,0,1,1,0,0,2,Medium
overweight,omnivore,twice a day,walk/bicycle,sometimes,157,rarely,medium,3,20,5,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1074,1,1,1,1,4,0,0,1,1,1,3,Medium
obese,vegetarian,daily,private,often,266,very frequently,large,1,3,5,6,Yes,[Paper],[Oven],4743,0,0,0,1,1,0,1,0,0,0,1,High
overweight,vegetarian,less frequently,public,sometimes,144,frequently,large,1,22,18,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1647,0,1,1,1,3,1,1,1,0,0,3,Medium
underweight,vegan,less frequently,private,never,56,rarely,medium,4,9,11,19,Sometimes,[],"['Grill', 'Airfryer']",1832,0,0,0,0,0,0,0,0,1,1,2,Low
underweight,vegan,more frequently,walk/bicycle,sometimes,59,very frequently,extra large,3,5,39,15,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2322,1,1,0,1,3,1,0,1,0,0,2,Low
overweight,omnivore,daily,public,never,200,frequently,medium,3,3,31,15,Yes,[Glass],"['Microwave', 'Grill', 'Airfryer']",2494,0,1,0,0,1,0,0,1,1,1,3,Medium
underweight,pescatarian,daily,public,often,135,rarely,extra large,1,8,23,18,Sometimes,[Glass],"['Microwave', 'Grill', 'Airfryer']",1178,0,1,0,0,1,0,0,1,1,1,3,Medium
normal,vegetarian,more frequently,public,never,146,never,extra large,4,12,27,21,No,"['Paper', 'Plastic']","['Stove', 'Microwave']",1427,1,0,0,1,2,1,0,1,0,0,2,Medium
obese,vegetarian,more frequently,walk/bicycle,never,111,very frequently,medium,5,9,4,4,Sometimes,[],"['Stove', 'Oven', 'Microwave']",3226,0,0,0,0,0,1,1,1,0,0,3,Low
underweight,omnivore,twice a day,walk/bicycle,often,114,rarely,large,3,18,27,4,Yes,[Plastic],[Stove],1593,1,0,0,0,1,1,0,0,0,0,1,Low
